CommunityName,BeachesCleaned
?ista obala Slovenia,2
"Aarhus University, Denmark",129
Aegean Greeners,1
Anemone,18
Archipelagos,1
Archipelagos Institute of Marine Conservation,3
Athens Goulandri Natural History Museum,1
Black Sea NGO Network || MELTEMI,24
Blue Flag Turkey,7
Clean Coasts,3
Clean Sea LIFE,1
CleanPiterCoast,9
Coder Dojo Dunmore East,4
DeFishGear - Slovenia,73
EMBLAS,19
Estonian Green Movement,1
European Environment Agency (EEA),10
GEO BSMARINELITTER,3
Georgia,4
HCMR@School,6
HELMEPA - Hellenic Marine Environment Protection Association,17
Hold Danmark Rent,28
ICES Secretariat,1
Institute for Water of the Republic of Slovenia,12
KYMA,1
Keep Sweden Tidy,2
Legambiente Onlus,195
MARNOBA,1
MELTEMI BalkanMed,9
MELTEMI Exhibition Centre Chios,4
Mare Nostrum,79
Marnoba,239
"Mediterranean Information Office for Environment, Culture and Sustainable Development (MIO-ECSDE)",3
Mediterranean Microplastics Project (MMP),2
Monitoraggio Strategia Marina – Ministero dell’Ambiente,254
NIMRD Grigore Antipa,14
OceanCare Cleanups,5
PALS: STOP BASURAS MARINAS,2
Perseus,69
Plastic Change,57
Portuguese Association for Marine Litter - APLM,5
SOI,7
Su Urunleri Kasifleri (Seafood Explorers)-Ege University,1
Sum Yazilim Community,1
Surfers Against Sewage,22
Surfrider Foundation Europe,664
Swiss Litter Report,1061
UK Marine Conservation Society,3
UkrSCES Institution,6
WWF Denmark,13
YOLY,1
eXXpedition,2
gBqsPxAZ,308
ocean-R-evolution.com,6
